English Name,Botanical Name,Plant Family,Strata,Lifecycle,Time-to-Maturity,Lifespan,Zone,Origin,Function,Spacing,Image Name,Image Prompt
Scarlet Flame Bean,Brownea coccinea,Fabaceae,Medium,Secondary 2,4-5 years,20-30 years,10-12,South America,Support,3-4 m,Brownea_coccinea.jpg,"Botanical illustration of Scarlet Flame Bean (Brownea coccinea) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Scarlet Flame Bean (Brownea coccinea). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: Medium, Lifecycle: Secondary 2, Time to Maturity: 4-5 years, Lifespan: 20-30 years, Zone: 10-12, Origin: South America, Function: Support, Spacing: 3-4 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Angel's Trumpet,Brugmansia suaveolens,Solanaceae,Medium,Secondary 1,4-5 years,20-30 years,9-11,South America,Support,3-4 m,Brugmansia_suaveolens.jpg,"Botanical illustration of Angel's Trumpet (Brugmansia suaveolens) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Angel's Trumpet (Brugmansia suaveolens). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Solanaceae, Strata: Medium, Lifecycle: Secondary 1, Time to Maturity: 4-5 years, Lifespan: 20-30 years, Zone: 9-11, Origin: South America, Function: Support, Spacing: 3-4 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Black Olive Tree,Bucida buceras,Combretaceae,Emergent,Climax,10-15 years,Over 100 years,10-12,Caribbean,Support,10-20 m,Bucida_buceras.jpg,"Botanical illustration of Black Olive Tree (Bucida buceras) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Black Olive Tree (Bucida buceras). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Combretaceae, Strata: Emergent, Lifecycle: Climax, Time to Maturity: 10-15 years, Lifespan: Over 100 years, Zone: 10-12, Origin: Caribbean, Function: Support, Spacing: 10-20 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Gumbo-limbo,Bursera simaruba,Burseraceae,High,Secondary 2,5-7 years,50-100 years,10-12,Central America,Support,5-10 m,Bursera_simaruba.jpg,"Botanical illustration of Gumbo-limbo (Bursera simaruba) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Gumbo-limbo (Bursera simaruba). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Burseraceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 5-7 years, Lifespan: 50-100 years, Zone: 10-12, Origin: Central America, Function: Support, Spacing: 5-10 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Nance,Byrsonima crassifolia,Malpighiaceae,High,Secondary 2,3-4 years,20-30 years,10-12,Central America,Food,5-10 m,Byrsonima_crassifolia.jpg,"Botanical illustration of Nance (Byrsonima crassifolia) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Nance (Byrsonima crassifolia). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Malpighiaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 10-12, Origin: Central America, Function: Food, Spacing: 5-10 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Pride of Barbados,Caesalpinia pulcherrima,Fabaceae,Emergent,Secondary 2,3-4 months,Perennial,9-12,Central America,Support,30-50 cm,Caesalpinia_pulcherrima.jpg,"Botanical illustration of Pride of Barbados (Caesalpinia pulcherrima) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Pride of Barbados (Caesalpinia pulcherrima). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: Emergent, Lifecycle: Secondary 2, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 9-12, Origin: Central America, Function: Support, Spacing: 30-50 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Pigeon Pea,Cajanus cajan,Fabaceae,High,Placenta 2,6-12 months,3-5 years,9-11,India,Support,1-2 m,Cajanus_cajan.jpg,"Botanical illustration of Pigeon Pea (Cajanus cajan) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Pigeon Pea (Cajanus cajan). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: High, Lifecycle: Placenta 2, Time to Maturity: 6-12 months, Lifespan: 3-5 years, Zone: 9-11, Origin: India, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Rattlesnake Plant,Calathea crotalifera,Marantaceae,Medium,Secondary 1,3-4 months,Perennial,10-11,Central America,Support,1-2 m,Calathea_crotalifera.jpg,"Botanical illustration of Rattlesnake Plant (Calathea crotalifera) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Rattlesnake Plant (Calathea crotalifera). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Marantaceae, Strata: Medium, Lifecycle: Secondary 1, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 10-11, Origin: Central America, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Ajenjible,Calea urticifolia,Asteraceae,Low,Secondary 1,3-4 years,20-30 years,10-11,Central America,Support,1-2 m,Calea_urticifolia.jpg,"Botanical illustration of Ajenjible (Calea urticifolia) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Ajenjible (Calea urticifolia). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Asteraceae, Strata: Low, Lifecycle: Secondary 1, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 10-11, Origin: Central America, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Dream Herb,Calea zacatechichi,Asteraceae,Low,Secondary 1,3-4 months,Perennial,9-11,Central America,Food,30-50 cm,Calea_zacatechichi.jpg,"Botanical illustration of Dream Herb (Calea zacatechichi) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Dream Herb (Calea zacatechichi). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Asteraceae, Strata: Low, Lifecycle: Secondary 1, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 9-11, Origin: Central America, Function: Food, Spacing: 30-50 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Powder Puff Tree,Calliandra sp.,Fabaceae,Medium,Secondary 2,2-3 years,10-20 years,9-11,Central America,Support,2-3 m,Calliandra_sp..jpg,"Botanical illustration of Powder Puff Tree (Calliandra sp.) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Powder Puff Tree (Calliandra sp.). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: Medium, Lifecycle: Secondary 2, Time to Maturity: 2-3 years, Lifespan: 10-20 years, Zone: 9-11, Origin: Central America, Function: Support, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Sapote,Calocarpum mammosum,Sapotaceae,High,Climax,4-6 years,50-100 years,10-12,Central America,Food,3-5 m,Calocarpum_mammosum.jpg,"Botanical illustration of Sapote (Calocarpum mammosum) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Sapote (Calocarpum mammosum). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Sapotaceae, Strata: High, Lifecycle: Climax, Time to Maturity: 4-6 years, Lifespan: 50-100 years, Zone: 10-12, Origin: Central America, Function: Food, Spacing: 3-5 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Tea Plant,Camellia sinensis,Theaceae,Low,Climax,3-5 years,30-50 years,7-9,Asia,Food,1-2 m,Camellia_sinensis.jpg,"Botanical illustration of Tea Plant (Camellia sinensis) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Tea Plant (Camellia sinensis). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Theaceae, Strata: Low, Lifecycle: Climax, Time to Maturity: 3-5 years, Lifespan: 30-50 years, Zone: 7-9, Origin: Asia, Function: Food, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Ylang-Ylang,Cananga odorata,Annonaceae,Emergent,Secondary 2,5-7 years,50-80 years,10-12,Southeast Asia,Food,5-10 m,Cananga_odorata.jpg,"Botanical illustration of Ylang-Ylang (Cananga odorata) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Ylang-Ylang (Cananga odorata). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Annonaceae, Strata: Emergent, Lifecycle: Secondary 2, Time to Maturity: 5-7 years, Lifespan: 50-80 years, Zone: 10-12, Origin: Southeast Asia, Function: Food, Spacing: 5-10 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Pili Nut,Canarium ovatum,Burseraceae,Emergent,Climax,4-5 years,50-100 years,10-12,Southeast Asia,Food,4-6 m,Canarium_ovatum.jpg,"Botanical illustration of Pili Nut (Canarium ovatum) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Pili Nut (Canarium ovatum). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Burseraceae, Strata: Emergent, Lifecycle: Climax, Time to Maturity: 4-5 years, Lifespan: 50-100 years, Zone: 10-12, Origin: Southeast Asia, Function: Food, Spacing: 4-6 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Jack Bean,Canavalia ensiformis,Fabaceae,Medium,Placenta 2,3-4 months,Annual,9-11,Central America,Support,50-75 cm,Canavalia_ensiformis.jpg,"Botanical illustration of Jack Bean (Canavalia ensiformis) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Jack Bean (Canavalia ensiformis). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: Medium, Lifecycle: Placenta 2, Time to Maturity: 3-4 months, Lifespan: Annual, Zone: 9-11, Origin: Central America, Function: Support, Spacing: 50-75 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Achira,Canna edulis,Cannaceae,Medium,Secondary 1,6-8 months,Perennial,8-11,South America,Support,50-100 cm,Canna_edulis.jpg,"Botanical illustration of Achira (Canna edulis) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Achira (Canna edulis). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Cannaceae, Strata: Medium, Lifecycle: Secondary 1, Time to Maturity: 6-8 months, Lifespan: Perennial, Zone: 8-11, Origin: South America, Function: Support, Spacing: 50-100 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Bell Pepper,Capsicum annuum,Solanaceae,High,Placenta 2,3-4 months,Annual,9-11,Central America,Food,30-50 cm,Capsicum_annuum.jpg,"Botanical illustration of Bell Pepper (Capsicum annuum) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Bell Pepper (Capsicum annuum). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Solanaceae, Strata: High, Lifecycle: Placenta 2, Time to Maturity: 3-4 months, Lifespan: Annual, Zone: 9-11, Origin: Central America, Function: Food, Spacing: 30-50 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Serrano Pepper,Capsicum annuum 'Serrano',Solanaceae,High,Placenta 2,2-3 months,Annual,9-11,North America,Food,30-40 cm,Capsicum_annuum_'Serrano'.jpg,"Botanical illustration of Serrano Pepper (Capsicum annuum 'Serrano') in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Serrano Pepper (Capsicum annuum 'Serrano'). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Solanaceae, Strata: High, Lifecycle: Placenta 2, Time to Maturity: 2-3 months, Lifespan: Annual, Zone: 9-11, Origin: North America, Function: Food, Spacing: 30-40 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Habanero Pepper,Capsicum habanero,Solanaceae,High,Placenta 2,2-3 months,Annual,10-12,Central America,Food,30-50 cm,Capsicum_habanero.jpg,"Botanical illustration of Habanero Pepper (Capsicum habanero) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Habanero Pepper (Capsicum habanero). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Solanaceae, Strata: High, Lifecycle: Placenta 2, Time to Maturity: 2-3 months, Lifespan: Annual, Zone: 10-12, Origin: Central America, Function: Food, Spacing: 30-50 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Chili Pepper,Capsicum spp.,Solanaceae,High,Placenta 2,3-4 months,Annual,9-11,Central America,Food,30-50 cm,Capsicum_spp..jpg,"Botanical illustration of Chili Pepper (Capsicum spp.) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Chili Pepper (Capsicum spp.). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Solanaceae, Strata: High, Lifecycle: Placenta 2, Time to Maturity: 3-4 months, Lifespan: Annual, Zone: 9-11, Origin: Central America, Function: Food, Spacing: 30-50 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Papaya,Carica papaya,Caricaceae,Emergent,Secondary 1,6-12 months,3-5 years,9-11,Central America,Food,2-3 m,Carica_papaya.jpg,"Botanical illustration of Papaya (Carica papaya) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Papaya (Carica papaya). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Caricaceae, Strata: Emergent, Lifecycle: Secondary 1, Time to Maturity: 6-12 months, Lifespan: 3-5 years, Zone: 9-11, Origin: Central America, Function: Food, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
White Sapote,Casimiroa edulis,Rutaceae,High,Secondary 2,4-5 years,20-30 years,8-11,Central America,Food,2-3 m,Casimiroa_edulis.jpg,"Botanical illustration of White Sapote (Casimiroa edulis) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: White Sapote (Casimiroa edulis). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Rutaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 4-5 years, Lifespan: 20-30 years, Zone: 8-11, Origin: Central America, Function: Food, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Golden Shower Tree,Cassia fistula,Fabaceae,High,Secondary 2,4-5 years,20-30 years,9-11,South Asia,Support,3-4 m,Cassia_fistula.jpg,"Botanical illustration of Golden Shower Tree (Cassia fistula) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Golden Shower Tree (Cassia fistula). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 4-5 years, Lifespan: 20-30 years, Zone: 9-11, Origin: South Asia, Function: Support, Spacing: 3-4 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Pink Shower Tree,Cassia grandis,Fabaceae,High,Secondary 2,5-7 years,50-80 years,10-12,Central America,Support,5-10 m,Cassia_grandis.jpg,"Botanical illustration of Pink Shower Tree (Cassia grandis) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Pink Shower Tree (Cassia grandis). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 5-7 years, Lifespan: 50-80 years, Zone: 10-12, Origin: Central America, Function: Support, Spacing: 5-10 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Trumpet Tree,Cecropia peltata,Urticaceae,Emergent,Secondary 2,1-2 years,20-30 years,10-12,Central America,Support,3-4 m,Cecropia_peltata.jpg,"Botanical illustration of Trumpet Tree (Cecropia peltata) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Trumpet Tree (Cecropia peltata). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Urticaceae, Strata: Emergent, Lifecycle: Secondary 2, Time to Maturity: 1-2 years, Lifespan: 20-30 years, Zone: 10-12, Origin: Central America, Function: Support, Spacing: 3-4 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Spanish Cedar,Cedrela odorata,Meliaceae,Emergent,Secondary 2,5-7 years,100-200 years,10-12,Central America,Wood,4-6 m,Cedrela_odorata.jpg,"Botanical illustration of Spanish Cedar (Cedrela odorata) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Spanish Cedar (Cedrela odorata). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Meliaceae, Strata: Emergent, Lifecycle: Secondary 2, Time to Maturity: 5-7 years, Lifespan: 100-200 years, Zone: 10-12, Origin: Central America, Function: Wood, Spacing: 4-6 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Kapok Tree,Ceiba pentandra,Malvaceae,Emergent,Climax,4-5 years,50-80 years,10-12,Central America,Support,4-6 m,Ceiba_pentandra.jpg,"Botanical illustration of Kapok Tree (Ceiba pentandra) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Kapok Tree (Ceiba pentandra). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Malvaceae, Strata: Emergent, Lifecycle: Climax, Time to Maturity: 4-5 years, Lifespan: 50-80 years, Zone: 10-12, Origin: Central America, Function: Support, Spacing: 4-6 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
